id,age,sex,ethnicity,grip,chest,e_anx_1,e_anx_2,e_anx_3,e_anx_4,e_anx_5,e_anx_6,e_anx_7,e_anx_8,e_anx_9,e_anx_10
103,21,0,8,52,31,6,6,6,7,5,1,4,3,6,5
183,20,0,8,34,38,5,3,5,4,4,3,4,4,4,4
177,19,0,1,48,32,5,5,4,2,1,6,6,6,7,5
133,19,0,1,48,30,5,5,3,4,2,3,6,5,4,4
171,18,0,2,40,40,4,4,5,5,3,6,4,6,5,5
167,20,0,8,49,36,4,4,3,5,1,4,4,3,5,4
164,18,0,2,36,40,6,6,7,1,5,1,1,1,6,2
184,19,0,8,38,36,4,6,4,4,4,4,4,4,4,4
147,19,0,1,58,45,6,5,6,7,5,3,2,4,5,5
157,21,0,1,35,19,7,7,7,5,7,1,2,3,1,4
186,19,0,8,38,26,7,7,6,5,3,1,3,3,5,2
138,19,0,1,40,32,6,4,5,2,4,1,6,2,3,2
109,18,0,2,36,38,6,7,7,6,6,1,3,6,6,1
107,20,0,2,34,18,5,5,6,5,6,3,2,2,2,1
104,19,0,1,53,52,3,4,3,4,1,3,7,5,5,3
110,19,0,1,54,56,3,2,3,2,1,6,6,6,5,6
146,19,0,1,44,42,6,2,2,6,3,5,2,5,5,3
114,19,0,1,40,59,6,5,7,6,3,1,2,1,6,2
102,18,0,1,38,12,3,6,6,6,2,2,2,5,5,6
129,20,0,1,46,39,1,6,4,1,1,2,3,7,6,3
142,18,0,1,44,40,2,2,1,3,2,6,5,4,4,5
168,19,0,1,38,56,5,7,5,6,1,2,2,7,3,2
119,19,0,1,46,51,6,6,2,6,2,3,3,2,6,3
165,19,0,1,38,40,7,2,3,1,3,6,3,2,3,1
169,18,0,5,40,32,5,7,7,7,6,1,5,3,2,1
117,18,0,5,37,40,1,3,5,5,2,4,4,4,4,3
130,19,0,1,44,50,7,6,6,6,4,2,4,3,4,1
137,23,0,5,56,48,6,5,5,4,5,2,5,5,5,2
139,18,0,8,32,25,5,7,4,5,1,2,2,5,6,1
143,19,0,1,43,45,3,3,5,5,3,5,4,4,4,6
153,18,0,1,38,32,7,7,6,4,3,2,4,6,6,1
161,19,0,2,34,34,6,6,6,5,4,2,2,4,6,3
178,21,0,5,35,25,5,6,3,5,3,5,6,4,4,3
182,19,0,5,35,28,1,3,6,3,4,7,1,1,4,5
101,21,0,2,57,67,3,4,3,3,3,4,6,2,5,4
144,18,0,5,51,34,3,6,3,6,1,6,6,6,6,3
162,20,0,1,51,36,3,4,2,2,2,4,5,4,6,3
136,21,0,1,50,48,4,3,3,3,2,6,7,5,5,4
116,19,0,5,47,39,7,2,4,1,1,7,4,7,4,7
127,20,0,1,61,57,6,5,2,1,3,2,3,2,6,5
140,19,0,1,52,62,2,4,2,4,2,5,5,5,7,2
122,18,0,1,42,38,7,3,1,7,2,5,7,4,6,4
166,19,0,8,56,32,6,3,5,4,5,5,4,5,4,5
120,18,0,2,48,49,6,5,6,4,5,4,1,4,4,3
106,19,0,2,51,69,7,7,1,1,1,1,1,7,7,1
131,18,0,1,50,46,2,4,1,5,2,5,5,4,7,5
112,19,0,1,52,51,6,6,6,4,3,3,5,3,4,3
181,19,0,5,49,41,2,5,5,6,3,2,3,5,4,3
145,18,0,5,50,57,6,6,5,7,1,3,6,5,6,2
118,19,0,3,46,32,3,2,1,3,1,4,7,6,7,6
160,23,0,1,54,46,1,2,1,1,1,5,3,6,6,5
159,21,0,7,48,44,7,7,1,4,1,1,3,1,6,5
126,19,0,1,58,42,2,3,2,2,1,4,5,6,6,5
115,19,0,1,39,19,5,3,3,3,2,4,7,3,5,3
158,21,0,5,31,34,4,5,5,7,3,2,4,5,5,2
125,22,0,5,30,32,3,5,6,2,5,1,1,4,5,4
172,18,0,5,57,66,4,4,4,2,2,5,2,2,4,5
123,19,0,1,51,54,6,5,4,5,2,5,3,3,5,4
141,18,0,1,48,34,6,6,7,6,4,6,4,4,5,1
170,26,0,1,39,50,6,6,5,6,2,2,6,4,5,5
105,18,0,1,38,42,5,5,2,3,2,5,5,5,6,3
180,19,0,1,50,38,3,3,3,2,1,6,4,4,6,6
155,18,0,5,40,42,6,7,7,7,5,1,3,4,5,1
179,24,0,1,51,20,5,5,6,6,3,3,3,6,4,6
151,20,0,1,46,32,2,1,2,3,2,6,6,6,7,5
100,19,0,1,58,60,4,6,5,2,2,4,6,5,6,2
111,18,0,1,50,73,1,3,1,1,1,2,1,1,7,4
121,22,0,1,55,52,5,5,4,5,2,3,7,1,5,2
152,21,0,1,42,42,1,2,4,5,3,2,7,2,6,1
156,20,0,8,55,64,6,5,5,5,4,2,4,5,3,1
128,30,0,1,50,38,3,4,3,4,2,4,2,6,5,6
135,25,0,2,30,20,5,5,5,5,4,5,4,3,7,3
132,19,0,1,54,58,1,5,2,1,1,1,2,6,7,2
108,19,0,1,64,48,5,7,7,7,5,2,7,1,6,7
134,18,0,8,52,64,1,6,5,5,1,4,3,6,7,7
124,18,0,5,48,45,7,1,6,7,1,2,2,1,4,1
154,18,0,2,49,53,1,1,1,2,2,6,7,6,6,7
163,19,0,1,52,47,5,7,5,4,2,1,7,3,4,4
187,18,0,8,55,48,7,7,5,6,2,6,5,4,5,5
176,19,0,2,45,33,3,7,7,6,1,1,3,3,7,3
149,19,0,5,38,26,6,7,3,7,4,3,3,3,5,2
174,21,0,1,48,30,3,6,3,1,1,2,4,1,7,3
173,19,0,1,45,40,6,5,5,1,2,2,4,2,6,4
113,20,0,1,43,59,6,5,2,4,2,3,7,3,6,5
150,18,0,1,58,NA,2,1,1,1,1,7,3,2,6,6
185,19,0,2,54,52,2,5,1,2,2,6,6,6,6,6
349,21,1,2,25,18,5,7,7,7,7,1,1,4,1,2
353,19,1,5,22,12,5,6,3,4,3,4,6,6,7,3
337,22,1,1,52,34,5,5,5,7,4,2,3,4,5,1
365,19,1,1,30,30,4,6,5,5,5,2,2,5,3,5
341,18,1,1,30,16,7,7,7,7,5,1,2,1,5,7
332,21,1,1,25,22,2,4,3,3,2,3,3,4,6,4
368,19,1,2,32,11,5,5,4,6,4,3,3,3,2,3
347,19,1,2,21,8,6,7,5,5,4,2,3,4,4,2
309,18,1,1,22,12,6,5,4,2,5,2,7,1,3,2
369,21,1,3,32,25,3,3,5,3,2,2,3,4,5,3
360,19,1,1,18,8,5,5,5,5,4,3,4,2,3,2
312,20,1,1,13,18,7,7,7,2,7,1,1,1,2,1
330,20,1,2,25,20,6,5,7,6,1,1,1,3,2,1
388,18,1,1,30,14,7,6,6,7,4,2,3,2,3,3
381,19,1,2,19,14,6,7,7,4,4,1,1,4,4,3
352,20,1,1,30,13,5,6,3,5,5,2,6,5,6,4
302,19,1,1,28,6,6,6,6,6,3,2,3,6,2,2
339,19,1,1,44,32,2,6,4,2,4,6,6,4,3,4
345,19,1,8,30,16,2,3,4,4,2,3,4,3,5,5
354,18,1,5,19,13,6,5,5,5,6,2,6,2,3,2
367,21,1,1,26,26,7,7,5,5,5,1,1,4,2,1
366,18,1,5,27,16,7,5,1,5,4,6,5,4,5,7
318,20,1,1,26,18,7,7,7,5,7,1,2,3,2,1
334,18,1,5,33,11,4,3,2,1,2,5,6,6,7,6
335,18,1,2,29,14,7,7,7,7,5,1,3,2,1,1
387,19,1,2,16,8,5,2,1,1,1,4,2,1,5,2
324,20,1,1,29,17,7,6,6,2,6,2,4,2,2,1
370,19,1,2,36,26,7,7,6,5,1,1,3,4,7,3
348,19,1,5,23,19,6,6,6,4,6,4,2,3,4,4
327,19,1,8,30,26,4,5,4,4,4,2,4,3,4,6
340,20,1,2,60,38,6,7,6,7,6,1,3,5,4,6
300,19,1,8,21,14,4,6,5,7,5,2,3,1,3,3
305,18,1,5,32,18,6,7,6,6,6,2,4,2,5,2
308,18,1,1,34,30,3,4,6,5,2,4,4,3,4,5
346,19,1,1,26,18,6,4,4,5,2,2,3,5,5,2
301,18,1,1,33,11,5,6,6,2,1,1,4,5,5,5
379,18,1,5,32,19,5,4,3,5,2,3,3,5,5,5
389,20,1,8,16,26,6,6,6,6,6,2,1,2,2,2
376,19,1,2,26,15,5,5,5,5,2,2,4,2,4,1
307,19,1,2,37,21,1,6,4,2,1,1,5,3,7,4
325,19,1,1,27,14,2,5,4,6,6,4,5,6,5,2
375,18,1,1,25,14,5,3,6,6,3,5,2,3,4,6
378,18,1,5,20,16,5,7,7,6,4,1,2,6,6,5
316,21,1,1,22,12,2,3,2,1,2,6,6,2,6,2
310,19,1,1,30,14,2,5,5,5,1,3,5,2,2,3
319,19,1,1,21,16,2,5,1,6,3,3,4,3,5,4
338,20,1,2,34,22,6,7,7,1,5,1,7,5,4,2
364,18,1,5,23,23,5,5,5,5,5,6,3,5,5,4
386,18,1,1,19,9,5,6,5,2,4,1,6,5,5,2
321,18,1,1,34,22,7,7,5,6,4,3,7,2,7,1
313,21,1,1,27,18,6,7,2,5,1,4,4,7,7,3
357,19,1,1,16,8,3,6,3,6,4,2,6,3,6,3
358,19,1,2,22,15,5,5,6,2,6,2,6,5,1,5
383,18,1,5,24,13,1,2,1,1,1,7,7,3,7,4
359,19,1,1,30,21,4,6,5,5,5,2,5,3,4,2
323,20,1,1,24,13,5,6,7,6,7,1,2,2,2,3
314,18,1,1,26,16,4,2,2,1,1,6,2,2,4,5
303,19,1,1,27,24,2,4,5,1,3,3,3,4,5,2
373,18,1,2,24,15,7,5,4,2,3,4,6,3,4,2
363,19,1,1,31,31,2,6,2,6,2,5,2,4,6,7
362,18,1,2,27,10,6,2,2,5,1,2,6,5,7,5
322,20,1,1,31,25,6,5,4,5,2,3,7,2,4,5
306,21,1,1,25,22,6,6,5,6,6,2,4,3,6,4
342,20,1,5,24,20,5,2,5,1,1,2,7,1,6,5
315,19,1,1,33,22,5,2,5,5,4,6,5,3,5,3
380,19,1,1,34,28,7,7,7,7,6,1,5,1,3,2
351,21,1,2,28,15,2,3,3,5,2,3,6,4,3,5
344,18,1,1,30,36,7,5,4,7,4,2,2,3,5,4
371,20,1,2,36,26,6,5,7,5,2,4,4,5,6,3
336,18,1,1,30,12,6,6,6,5,5,3,6,3,4,2
329,19,1,1,33,13,2,1,2,1,1,3,6,5,7,5
317,19,1,1,27,15,5,1,5,5,3,2,5,2,3,2
328,20,1,5,29,20,2,3,3,1,3,5,5,2,5,6
331,21,1,6,30,22,5,5,6,5,3,2,2,3,4,2
377,19,1,1,26,20,5,5,5,4,4,3,6,2,3,5
385,18,1,2,32,23,2,5,2,1,3,4,6,2,6,6
374,19,1,2,38,27,1,2,2,1,1,6,7,2,2,6
304,19,1,1,28,11,5,7,7,6,6,1,4,2,2,1
356,19,1,3,28,19,6,7,6,4,5,2,2,2,2,2
372,19,1,2,40,32,6,2,3,3,1,2,2,2,3,2
320,19,1,1,22,14,5,5,4,5,2,4,5,2,4,6
333,20,1,1,34,14,4,6,4,1,2,2,3,3,3,2
382,20,1,5,22,13,6,7,4,6,6,3,3,3,3,2
311,19,1,2,25,8,5,4,3,6,3,3,6,4,3,3
343,18,1,8,31,20,6,6,5,6,3,3,4,2,6,2
350,22,1,1,25,15,4,3,3,2,2,4,4,4,6,7
355,18,1,8,30,18,5,5,3,5,1,3,5,4,5,1
361,19,1,1,30,23,7,6,6,3,7,1,2,5,5,3
384,19,1,1,28,13,6,3,1,4,3,4,7,6,4,3
